frequency_hz,vertical_acceleration_z,col3,translational_acceleration_xy,col5,motion_sickness_z,col7,motion_sickness_x,motion_sickness_y,rotational_speed_xyz
0.020000000000,0.000000000000,-90.000000000000,0.000000000000,-90.000000000000,24.200000000000,-32.330000000000,5.053166653072,677.786300335703,nan
0.025000000000,0.000000000000,-90.000000000000,0.000000000000,-90.000000000000,37.700000000000,-28.480000000000,9.232121822025,761.652298023583,nan
0.031500000000,0.000000000000,-90.000000000000,0.000000000000,-90.000000000000,59.700000000000,-24.470000000000,22.052838482397,761.652298023583,999.959302327404
0.040000000000,0.000000000000,-90.000000000000,0.000000000000,-90.000000000000,97.100000000000,-20.250000000000,41.947089407163,896.389174274791,998.700371205471
0.050000000000,0.000000000000,-90.000000000000,0.000000000000,-90.000000000000,157.000000000000,-16.100000000000,72.554243436302,975.914606133656,997.219275767903
0.063000000000,0.000000000000,-90.000000000000,0.000000000000,-90.000000000000,267.000000000000,-11.490000000000,133.060872162470,999.999999999999,995.293851699065
0.080000000000,0.000000000000,-90.000000000000,0.000000000000,-90.000000000000,461.000000000000,-6.730000000000,307.370864293862,999.999999999999,992.775989455199
0.100000000000,31.200000000000,-30.110000000000,62.400000000000,-24.090000000000,695.000000000000,-3.160000000000,574.266544809900,999.999999999999,974.114525901656
0.125000000000,48.600000000000,-26.260000000000,97.300000000000,-20.240000000000,895.000000000000,-0.960000000000,849.133864149164,1042.491646815822,617.420661612032
0.160000000000,79.000000000000,-22.050000000000,158.000000000000,-16.010000000000,1006.000000000000,0.050000000000,921.739399226615,1070.609656682579,379.681245857000
0.200000000000,121.000000000000,-18.330000000000,243.000000000000,-12.280000000000,992.000000000000,-0.070000000000,925.158655308083,1045.264485014245,230.993093650332
0.250000000000,182.000000000000,-14.810000000000,365.000000000000,-8.750000000000,854.000000000000,-1.370000000000,783.116860247941,835.379650733722,146.507830950440
0.315000000000,263.000000000000,-11.600000000000,530.000000000000,-5.520000000000,619.000000000000,-4.170000000000,629.431633960180,596.777090350304,91.974464054301
0.400000000000,352.000000000000,-9.070000000000,713.000000000000,-2.940000000000,384.000000000000,-8.310000000000,415.036250504031,419.882247885710,57.506174838906
0.500000000000,418.000000000000,-7.570000000000,853.000000000000,-1.380000000000,224.000000000000,-13.000000000000,265.784624753838,239.421555099671,35.333867163159
0.630000000000,459.000000000000,-6.770000000000,944.000000000000,-0.500000000000,116.000000000000,-18.690000000000,178.516367558387,87.639622499191,22.624334387469
0.800000000000,477.000000000000,-6.430000000000,992.000000000000,-0.070000000000,53.000000000000,-25.510000000000,138.927926874936,39.963011754628,13.754056400530
1.000000000000,482.000000000000,-6.330000000000,1011.000000000000,0.100000000000,23.500000000000,-32.570000000000,85.622314710963,17.245712626631,11.553399378192
1.250000000000,484.000000000000,-6.290000000000,1008.000000000000,0.070000000000,9.980000000000,-40.020000000000,50.152519605221,8.136662222106,11.546160406151
1.600000000000,494.000000000000,-6.120000000000,968.000000000000,-0.280000000000,3.770000000000,-48.470000000000,38.546054522129,3.867731628006,11.536025845293
2.000000000000,531.000000000000,-5.490000000000,980.000000000000,1.010000000000,1.550000000000,-56.190000000000,20.336884921646,1.360228789560,11.524443490026
2.500000000000,631.000000000000,-4.010000000000,776.000000000000,-2.200000000000,0.640000000000,-63.930000000000,14.408031611992,0.453046536127,11.509965545943
3.150000000000,804.000000000000,-1.900000000000,642.000000000000,-3.850000000000,0.250000000000,-71.960000000000,9.439082755833,0.219006445359,11.491144218635
4.000000000000,967.000000000000,-0.290000000000,512.000000000000,-5.820000000000,0.097000000000,-80.260000000000,6.180651508356,0.088282057777,11.466531713694
5.000000000000,1039.000000000000,0.330000000000,409.000000000000,-7.760000000000,0.000000000000,-90.000000000000,3.558456565913,0.036343038609,11.437575825529
6.300000000000,1054.000000000000,0.460000000000,323.000000000000,-9.810000000000,0.000000000000,-90.000000000000,2.159079547269,0.014007453580,11.399933170913
8.000000000000,1036.000000000000,0.310000000000,253.000000000000,-11.930000000000,0.000000000000,-90.000000000000,1.424586316242,0.006187759739,11.350708161031
10.000000000000,988.000000000000,-0.100000000000,212.000000000000,-13.910000000000,0.000000000000,-90.000000000000,0.957349019541,0.005219244662,11.292796384699
12.500000000000,902.000000000000,-0.890000000000,161.000000000000,-15.870000000000,0.000000000000,-90.000000000000,0.649535891487,0.004715242801,11.220406664284
16.000000000000,768.000000000000,-2.280000000000,125.000000000000,-18.030000000000,0.000000000000,-90.000000000000,0.431343308205,0.004009640195,11.119061055704
20.000000000000,636.000000000000,-3.930000000000,100.000000000000,-19.990000000000,0.000000000000,-90.000000000000,0.253843839964,0.003203237217,11.003237503040
25.000000000000,513.000000000000,-5.800000000000,80.000000000000,-21.940000000000,0.000000000000,-90.000000000000,0.178105133991,0.002195233494,10.858458062211
31.500000000000,405.000000000000,-7.860000000000,63.200000000000,-23.980000000000,0.000000000000,-90.000000000000,0.111874738160,0.000884828655,10.670244789132
40.000000000000,314.000000000000,-10.050000000000,49.400000000000,-26.130000000000,0.000000000000,-90.000000000000,0.065039471896,0.000010619961,10.424119739722
50.000000000000,246.000000000000,-12.190000000000,38.800000000000,-28.220000000000,0.000000000000,-90.000000000000,0.100000000000,0.000000000000,10.134560858063
63.000000000000,186.000000000000,-14.610000000000,29.500000000000,-30.600000000000,0.000000000000,-90.000000000000,0.100000000000,0.000000000000,9.758134311907
80.000000000000,132.000000000000,-17.560000000000,21.100000000000,-33.530000000000,0.000000000000,-90.000000000000,0.100000000000,0.000000000000,9.265884213086
