segment_number,surface,speed,seat,start_time,end_time
0,static,0,reclined,1733748022373.32,1733748024700.23
1,synchro,0,reclined,1733747905507.35,1733747920340.00
2,Aula,5,reclined,1733747927137.24,1733747947304.84
3,Aula,5,reclined,1733747961433.26,1733747981253.69
4,Aula,5,reclined,1733747992876.13,1733748013352.45
5,klinkers,5,reclined,1733748189564.36,1733748259429.72
6,stoeptegels,5,reclined,1733748307040.07,1733748357837.56
7,pave,5,reclined,1733748448654.94,1733748530197.66
8,tarmac,5,reclined,1733748582525.54,1733748619046.30
9,tarmac,5,reclined,1733748626767.49,1733748636350.86
