segment_number,surface,speed,seat,start_time,end_time
0,static,0,cot,1733846976050.48,1733846978825.62
1,synchro,0,cot,1733846820159.97,1733846827768.01
2,shock,5,cot,1733846835154.33,1733846836814.36
3,shock,5,cot,1733846867331.09,1733846868746.12
4,shock,5,cot,1733846916694.85,1733846918058.26
5,shock,5,cot,1733846945994.29,1733846947510.41
6,shock,5,cot,1733846968875.52,1733846970157.62
