segment_number,surface,speed,seat,start_time,end_time
0,synchro,0,seat.,1733849112339.08,1733849121403.90
1,static,0,seat,1733849109335.42,1733849111407.44
2,shock,5,seat,1733849205836.98,1733849207171.81
3,shock,5,seat,1733849226140.81,1733849227400.94
4,shock,5,seat,1733849246048.03,1733849247360.90
5,shock,5,seat,1733849265145.57,1733849266499.08
