segment_number,surface,speed,seat,start_time,end_time
0,static,0,cot,1732798672818.60,1732798676230.96
1,synchro,0,cot,1732798598164.31,1732798601797.49
2,klinkers,5,cot,1732798168097.90,1732798227188.96
3,stoeptegels,5,cot,1732798300194.21,1732798353692.14
4,stoeptegels,5,cot,1732798358104.25,1732798371160.40
5,pave,5,cot,1732798605922.85,1732798669796.26
6,tarmac,5,cot,1732798730134.28,1732798757200.20
7,tarmac,5,cot,1732798763340.45,1732798775370.48
