segment_number,surface,speed,seat,start_time,end_time
0,static,0,cot,1735818157718.90,1735818161374.05
1,synchro,0,cot,1735818150247.10,1735818156380.77
2,Aula,5,cot,1735818163268.10,1735818186353.67
3,Aula,5,cot,1735818191206.33,1735818216292.51
4,Aula,5,cot,1735818221446.20,1735818245021.76
5,klinkers,5,cot,1735818408174.22,1735818467292.76
6,stoeptegels,5,cot,1735818487961.33,1735818544295.93
7,pave,5,cot,1735818632350.25,1735818703585.60
8,tarmac,5,cot,1735818740115.14,1735818784343.90
