segment_number,surface,speed,seat,start_time,end_time
0,static,0,cot,1732789201649.05,1732789207245.48
1,Aula,5,cot,1732789098445.68,1732789119416.38
2,Aula,5,cot,1732789132630.74,1732789148623.54
3,Aula,5,cot,1732789181173.83,1732789192978.64
