segment_number,surface,speed,seat,start_time,end_time
0,synchro,0,Maxicosi_Joolz,1734512554412.75,1734512563331.45
1,static,0,Maxicosi_Joolz,1734512521739.41,1734512541318.15
2,tarmac,12,Maxicosi_Joolz,1734512576607.33,1734512627307.04
3,tarmac,25,Maxicosi_Joolz,1734512688819.49,1734512732063.87
4,shock,5,Maxicosi_Joolz,1734512930350.62,1734512951976.10
5,shock,5,Maxicosi_Joolz,1734512985674.47,1734513006818.76
6,shock,12,Maxicosi_Joolz,1734513048443.76,1734513058038.12
7,shock,12,Maxicosi_Joolz,1734513139078.77,1734513155667.02
8,shock,25,Maxicosi_Joolz,1734513206239.29,1734513218383.58
9,shock,25,Maxicosi_Joolz,1734513348691.31,1734513359229.40
10,klinkers,12,Maxicosi_Joolz,1734513663251.86,1734513721482.70
11,klinkers,20,Maxicosi_Joolz,1734513846623.57,1734513878719.02
12,klinkers,25,Maxicosi_Joolz,1734514000375.03,1734514030700.59
