segment_number,surface,speed,seat,start_time,end_time
0,synchro,0,Maxicosi_Joolz,1734000492465.36,1734000509674.35
1,static,0,Maxicosi_Joolz,1734000866126.86,1734000909677.77
2,tarmac,12,Maxicosi_Joolz,1734000541851.10,1734000615507.84
3,tarmac,20,Maxicosi_Joolz,1734000688089.02,1734000746519.81
4,shock,12,Maxicosi_Joolz,1734001027107.33,1734001043074.86
5,shock,12,Maxicosi_Joolz,1734001074494.66,1734001087807.89
6,shock,20,Maxicosi_Joolz,1734001127013.70,1734001142447.30
7,shock,20,Maxicosi_Joolz,1734001214219.88,1734001225344.64
8,shock,5,Maxicosi_Joolz,1734001291919.59,1734001305286.65
9,shock,5,Maxicosi_Joolz,1734001321520.05,1734001338214.87
10,shock,5,Maxicosi_Joolz,1734001350144.93,1734001362007.97
