segment_number,surface,speed,seat,start_time,end_time
0,synchro,0,Maxicosi_Joolz,1734089622649.87,1734089637469.33
1,static,0,Maxicosi_Joolz,1734089744604.71,1734089765622.65
2,klinkers,12,Maxicosi_Joolz,1734089649285.13,1734089696841.64
3,klinkers,20,Maxicosi_Joolz,1734089923117.16,1734089958414.03
