segment_number,surface,speed,seat,start_time,end_time
0,synchro,0,Maxicosi_Joolz,1734690061385.80,1734690069979.31
1,static,0,Maxicosi_Joolz,1734690050152.28,1734690056599.06
2,tarmac,12,Maxicosi_Joolz,1734690089065.86,1734690144656.68
3,tarmac,20,Maxicosi_Joolz,1734690212830.14,1734690260422.91
4,shock,5,Maxicosi_Joolz,1734690400966.61,1734690414350.16
5,shock,5,Maxicosi_Joolz,1734690445728.21,1734690466383.61
6,shock,12,Maxicosi_Joolz,1734690497719.91,1734690516435.12
7,shock,12,Maxicosi_Joolz,1734690553527.16,1734690577154.36
8,shock,20,Maxicosi_Joolz,1734690619270.45,1734690635007.26
9,shock,20,Maxicosi_Joolz,1734690720124.94,1734690732213.20
10,klinkers,12,Maxicosi_Joolz,1734691116507.26,1734691174310.73
11,klinkers,20,Maxicosi_Joolz,1734691342293.88,1734691385088.93
