Surface,BotTrike,SeatBot,SeatHead,RearWheel,FrontWheel
static,"[58659, 65719]",,,,
static,,"[113188, 120260]",,,
static,,,"[114859, 121653]",,
static,,,,"[92552, 99626]",
static,,,,,"[109034, 116107]"
Aula,"[83079, 104034]",,,,
Aula,"[109757, 129473]",,,,
Aula,"[139354, 159548]",,,,
Aula,,"[137600, 158555]",,,
Aula,,"[164293, 183990]",,,
Aula,,"[193888, 213519]",,,
Aula,,,"[139014, 159949]",,
Aula,,,"[165687, 185387]",,
Aula,,,"[195285, 215480]",,
Aula,,,,"[116970, 137909]",
Aula,,,,"[143648, 163169]",
Aula,,,,"[172876, 193071]",
Aula,,,,,"[133452, 154424]"
Aula,,,,,"[160145, 179844]"
Aula,,,,,"[189742, 209934]"
