segment_number,surface,speed,seat,start_time,end_time
0,synchro,0,Maxicosi_Joolz,1734441703795.90,1734441721401.49
1,static,0,Maxicosi_Joolz,1734442042376.95,1734442093420.53
2,tarmac,12,Maxicosi_Joolz,1734441727347.29,1734441785447.39
3,tarmac,25,Maxicosi_Joolz,1734441854184.45,1734441897246.46
4,shock,5,Maxicosi_Joolz,1734442140969.57,1734442178759.25
5,shock,12,Maxicosi_Joolz,1734442363085.66,1734442398869.23
6,shock,12,Maxicosi_Joolz,1734442405152.31,1734442438372.77
7,shock,25,Maxicosi_Joolz,1734442457202.24,1734442489532.81
8,shock,25,Maxicosi_Joolz,1734442506789.03,1734442543485.57
9,klinkers,12,Maxicosi_Joolz,1734442826427.25,1734442888740.60
10,klinkers,25,Maxicosi_Joolz,1734442979210.82,1734443017484.99
