segment_number,surface,speed,seat,start_time,end_time
0,synchro,0,seat,1183592.65,1190824.95
1,static,0,seat,1179835.33,1182252.32
2,shock,5,seat,1199285.98022461,1200291.22924805
3,shock,5,seat,1224287.56713867,1225547.69897461
4,shock,5,seat,1245677.94799805,1246676.60522461
5,shock,5,seat,1269668.79272461,1270943.20678711
