segment_number,surface,speed,seat,start_time,end_time
0,synchro,0,cot,1733832121987.06,1733832129934.57
1,static,0,cot,1733832060727.30,1733832079962.16
2,shock,5,cot,1733832134560.64,1733832135762.54
3,shock,5,cot,1733832246798.07,1733832247832.98
