segment_number,surface,speed,seat,start_time,end_time
0,static,0,cot,1735574399560.39,1735574402764.01
1,synchro,0,cot,1735574410779.63,1735574414967.62
2,shock,5,cot,1735574416348.60,1735574422948.09
3,shock,5,cot,1735574436122.89,1735574443774.87
4,shock,5,cot,1735574457838.47,1735574464512.66
5,shock,5,cot,1735574478560.88,1735574485670.14
