Surface,BotTrike,SeatBot,SeatHead,RearWheel,FrontWheel
static,"[20105, 27179]",,,,
static,,"[43475, 50549]",,,
static,,,"[46835, 53894]",,
static,,,,"[30632, 37705]",
static,,,,,"[28998, 36071]"
Aula,"[35123, 54474]",,,,
Aula,"[66046, 79994]",,,,
Aula,"[93261, 101202]",,,,
Aula,"[108260, 118872]",,,,
Aula,"[136984, 139193]",,,,
Aula,,"[58495, 77844]",,,
Aula,,"[89429, 103562]",,,
Aula,,"[116808, 124681]",,,
Aula,,"[131757, 142353]",,,
Aula,,"[160467, 162678]",,,
Aula,,,"[61854, 81163]",,
Aula,,,"[92750, 106882]",,
Aula,,,"[120132, 128090]",,
Aula,,,"[135160, 145771]",,
Aula,,,"[163872, 166081]",,
Aula,,,,"[45636, 64974]",
Aula,,,,"[76545, 90661]",
Aula,,,,"[103912, 111857]",
Aula,,,,"[118933, 129543]",
Aula,,,,"[147656, 149866]",
Aula,,,,,"[44031, 63366]"
Aula,,,,,"[74952, 89100]"
Aula,,,,,"[102349, 110293]"
Aula,,,,,"[117368, 127964]"
Aula,,,,,"[145956, 148166]"
